fund_name,date,nav
HDFC Top 100 Fund - Direct Plan - Growth,17-04-2017,142.63170
HDFC Top 100 Fund - Direct Plan - Growth,13-04-2017,142.58440
HDFC Top 100 Fund - Direct Plan - Growth,12-04-2017,142.41960
HDFC Top 100 Fund - Direct Plan - Growth,11-04-2017,142.25570
HDFC Top 100 Fund - Direct Plan - Growth,10-04-2017,142.07210
HDFC Top 100 Fund - Direct Plan - Growth,07-04-2017,141.97490
HDFC Top 100 Fund - Direct Plan - Growth,06-04-2017,142.03440
HDFC Top 100 Fund - Direct Plan - Growth,05-04-2017,142.45600
HDFC Top 100 Fund - Direct Plan - Growth,03-04-2017,142.49100
HDFC Top 100 Fund - Direct Plan - Growth,31-03-2017,142.33650
HDFC Top 100 Fund - Direct Plan - Growth,30-03-2017,142.27010
HDFC Top 100 Fund - Direct Plan - Growth,29-03-2017,142.14050
HDFC Top 100 Fund - Direct Plan - Growth,27-03-2017,142.17020
HDFC Top 100 Fund - Direct Plan - Growth,24-03-2017,141.77960
HDFC Top 100 Fund - Direct Plan - Growth,23-03-2017,141.73410
HDFC Top 100 Fund - Direct Plan - Growth,22-03-2017,141.64410
HDFC Top 100 Fund - Direct Plan - Growth,21-03-2017,141.15670
HDFC Top 100 Fund - Direct Plan - Growth,20-03-2017,141.04270
